,city,date,review_count
478,Groningen,2023-06-09,105
479,Rotterdam,2023-06-09,255
480,Amsterdam,2023-06-10,332
481,Groningen,2023-06-10,103
482,Rotterdam,2023-06-10,295
483,Amsterdam,2023-06-11,401
484,Groningen,2023-06-11,117
485,Rotterdam,2023-06-11,314
486,Amsterdam,2023-06-12,334
487,Groningen,2023-06-12,117
488,Rotterdam,2023-06-12,239
489,Amsterdam,2023-06-13,305
490,Groningen,2023-06-13,80
491,Rotterdam,2023-06-13,213
492,Amsterdam,2023-06-14,306
493,Groningen,2023-06-14,77
494,Rotterdam,2023-06-14,209
495,Amsterdam,2023-06-15,280
496,Groningen,2023-06-15,75
497,Rotterdam,2023-06-15,239
498,Amsterdam,2023-06-16,306
499,Groningen,2023-06-16,93
500,Rotterdam,2023-06-16,256
501,Amsterdam,2023-06-17,347
502,Groningen,2023-06-17,83
503,Rotterdam,2023-06-17,269
504,Amsterdam,2023-06-18,405
505,Groningen,2023-06-18,116
506,Rotterdam,2023-06-18,321
507,Amsterdam,2023-06-19,311
508,Groningen,2023-06-19,82
509,Rotterdam,2023-06-19,214
510,Amsterdam,2023-06-20,368
511,Groningen,2023-06-20,87
512,Rotterdam,2023-06-20,289
513,Amsterdam,2023-06-21,344
514,Groningen,2023-06-21,89
515,Rotterdam,2023-06-21,241
516,Amsterdam,2023-06-22,336
517,Groningen,2023-06-22,73
518,Rotterdam,2023-06-22,301
519,Amsterdam,2023-06-23,357
520,Groningen,2023-06-23,92
521,Rotterdam,2023-06-23,322
522,Amsterdam,2023-06-24,388
523,Groningen,2023-06-24,127
524,Rotterdam,2023-06-24,325
525,Amsterdam,2023-06-25,381
526,Groningen,2023-06-25,143
527,Rotterdam,2023-06-25,359
528,Amsterdam,2023-06-26,345
529,Groningen,2023-06-26,99
530,Rotterdam,2023-06-26,257
531,Amsterdam,2023-06-27,318
532,Groningen,2023-06-27,93
533,Rotterdam,2023-06-27,229
534,Amsterdam,2023-06-28,310
535,Groningen,2023-06-28,93
536,Rotterdam,2023-06-28,283
537,Amsterdam,2023-06-29,330
538,Groningen,2023-06-29,126
539,Rotterdam,2023-06-29,249
540,Amsterdam,2023-06-30,384
541,Groningen,2023-06-30,141
542,Rotterdam,2023-06-30,290
543,Amsterdam,2023-07-01,412
544,Groningen,2023-07-01,107
545,Rotterdam,2023-07-01,303
546,Amsterdam,2023-07-02,382
547,Groningen,2023-07-02,124
548,Rotterdam,2023-07-02,299
549,Amsterdam,2023-07-03,344
550,Groningen,2023-07-03,105
551,Rotterdam,2023-07-03,264
552,Amsterdam,2023-07-04,316
553,Groningen,2023-07-04,83
554,Rotterdam,2023-07-04,235
555,Amsterdam,2023-07-05,322
556,Groningen,2023-07-05,101
557,Rotterdam,2023-07-05,247
558,Amsterdam,2023-07-06,333
559,Groningen,2023-07-06,97
560,Rotterdam,2023-07-06,209
561,Amsterdam,2023-07-07,338
562,Groningen,2023-07-07,104
563,Rotterdam,2023-07-07,259
564,Amsterdam,2023-07-08,376
565,Groningen,2023-07-08,123
566,Rotterdam,2023-07-08,304
567,Amsterdam,2023-07-09,418
568,Groningen,2023-07-09,149
569,Rotterdam,2023-07-09,346
570,Amsterdam,2023-07-10,335
571,Groningen,2023-07-10,87
572,Rotterdam,2023-07-10,266
573,Amsterdam,2023-07-11,285
574,Groningen,2023-07-11,70
575,Rotterdam,2023-07-11,223
576,Amsterdam,2023-07-12,317
577,Groningen,2023-07-12,68
578,Rotterdam,2023-07-12,217
579,Amsterdam,2023-07-13,282
580,Groningen,2023-07-13,80
581,Rotterdam,2023-07-13,212
582,Amsterdam,2023-07-14,329
583,Groningen,2023-07-14,99
584,Rotterdam,2023-07-14,244
585,Amsterdam,2023-07-15,336
586,Groningen,2023-07-15,115
587,Rotterdam,2023-07-15,274
588,Amsterdam,2023-07-16,384
589,Groningen,2023-07-16,112
590,Rotterdam,2023-07-16,283
591,Amsterdam,2023-07-17,331
592,Groningen,2023-07-17,86
593,Rotterdam,2023-07-17,214
594,Amsterdam,2023-07-18,308
595,Groningen,2023-07-18,85
596,Rotterdam,2023-07-18,185
597,Amsterdam,2023-07-19,329
598,Groningen,2023-07-19,87
599,Rotterdam,2023-07-19,215
600,Amsterdam,2023-07-20,354
601,Groningen,2023-07-20,95
602,Rotterdam,2023-07-20,226
603,Amsterdam,2023-07-21,357
604,Groningen,2023-07-21,128
605,Rotterdam,2023-07-21,274
606,Amsterdam,2023-07-22,379
607,Groningen,2023-07-22,100
608,Rotterdam,2023-07-22,330
609,Amsterdam,2023-07-23,393
610,Groningen,2023-07-23,139
611,Rotterdam,2023-07-23,335
612,Amsterdam,2023-07-24,351
613,Groningen,2023-07-24,97
614,Rotterdam,2023-07-24,289
615,Amsterdam,2023-07-25,296
616,Groningen,2023-07-25,69
617,Rotterdam,2023-07-25,258
618,Amsterdam,2023-07-26,293
619,Groningen,2023-07-26,89
620,Rotterdam,2023-07-26,227
621,Amsterdam,2023-07-27,351
622,Groningen,2023-07-27,89
623,Rotterdam,2023-07-27,293
624,Amsterdam,2023-07-28,355
625,Groningen,2023-07-28,125
626,Rotterdam,2023-07-28,289
